Wavelength,Smoothed Spectrum,Error
300,-9.34497E-02,7.66231E-02
299.8,-1.41558E-01,5.73612E-02
299.6,-1.46226E-01,5.31908E-02
299.4,-1.11496E-01,8.89531E-02
299.2,-5.91817E-02,9.58242E-02
299,-4.40077E-02,7.90348E-02
298.8,-1.89737E-02,7.40449E-02
298.6,-1.62417E-02,7.0731E-02
298.4,-4.04197E-02,5.34089E-02
298.2,-4.33817E-02,5.91028E-02
298,-8.36517E-02,6.53742E-02
297.8,-9.71577E-02,8.41177E-02
297.6,-9.40077E-02,8.15266E-02
297.4,-1.11234E-01,8.39963E-02
297.2,-1.19984E-01,7.86773E-02
297,-5.83228E-02,9.78659E-02
296.8,-5.7718E-02,9.49137E-02
296.6,-6.26787E-02,8.69745E-02
296.4,-6.94713E-02,9.94413E-02
296.2,-7.43881E-02,1.30618E-01
296,-7.72889E-02,1.18534E-01
295.8,-8.04411E-02,9.02061E-02
295.6,-8.33141E-02,8.67981E-02
295.4,-8.54464E-02,6.24429E-02
295.2,-8.85346E-02,9.61447E-02
295,-9.04259E-02,9.66438E-02
294.8,-9.0246E-02,6.58529E-02
294.6,-9.07714E-02,1.17867E-01
294.4,-9.01854E-02,1.00542E-01
294.2,-9.19562E-02,1.03544E-01
294,-9.46437E-02,9.80412E-02
293.8,-9.94921E-02,8.00819E-02
293.6,-1.05936E-01,9.15273E-02
293.4,-1.08009E-01,8.62847E-02
293.2,-1.08491E-01,4.69715E-02
293,-1.05252E-01,6.09297E-02
292.8,-1.00744E-01,7.49377E-02
292.6,-9.1821E-02,8.40598E-02
292.4,-7.81257E-02,9.14742E-02
292.2,-6.207E-02,9.18793E-02
292,-4.3512E-02,9.52973E-02
291.8,-2.71799E-02,1.07053E-01
291.6,-1.68383E-02,9.71484E-02
291.4,-1.13395E-02,9.57046E-02
291.2,-1.01498E-02,7.88557E-02
291,-1.07874E-02,6.80942E-02
290.8,-8.25181E-03,4.55699E-02
290.6,-4.25911E-03,2.66769E-02
290.4,2.17948E-03,5.76139E-02
290.2,7.32395E-03,2.91137E-02
290,8.62208E-03,5.40339E-02
289.8,4.61208E-03,9.25868E-02
289.6,-1.37371E-03,3.93778E-02
289.4,-8.45444E-03,6.05568E-02
289.2,-1.69609E-02,1.02798E-01
289,-2.34187E-02,1.27854E-01
288.8,-2.87623E-02,1.36433E-01
288.6,-3.65001E-02,1.26032E-01
288.4,-4.51103E-02,1.25629E-01
288.2,-5.5867E-02,9.31671E-02
288,-6.37111E-02,6.11246E-02
287.8,-6.84836E-02,7.27938E-02
287.6,-7.02761E-02,7.86305E-02
287.4,-7.08011E-02,1.12925E-01
287.2,-7.15994E-02,9.6021E-02
287,-7.25422E-02,9.03641E-02
286.8,-7.29015E-02,7.69668E-02
286.6,-6.82618E-02,1.07614E-01
286.4,-6.32958E-02,8.08783E-02
286.2,-5.93138E-02,5.86357E-02
286,-5.74372E-02,2.07122E-02
285.8,-5.78537E-02,7.5296E-02
285.6,-6.09369E-02,7.71E-02
285.4,-6.14258E-02,8.02993E-02
285.2,-5.88452E-02,7.30602E-02
285,-5.23337E-02,6.75312E-02
284.8,-4.45635E-02,6.92812E-02
284.6,-3.51782E-02,8.10442E-02
284.4,-2.76718E-02,1.17306E-01
284.2,-2.20676E-02,1.20683E-01
284,-1.46535E-02,9.19043E-02
283.8,-9.06666E-03,4.96555E-02
283.6,-6.90528E-03,6.62718E-02
283.4,-5.98034E-03,9.60604E-02
283.2,-5.87156E-03,8.621E-02
283,-6.18012E-03,4.33353E-02
282.8,-2.8807E-03,4.72779E-02
282.6,2.69405E-04,5.7885E-02
282.4,1.58396E-03,2.9837E-02
282.2,3.65742E-03,5.12254E-02
282,8.8764E-03,4.27506E-02
281.8,1.57286E-02,6.50026E-02
281.6,2.26355E-02,5.49517E-02
281.4,2.79911E-02,9.55266E-02
281.2,3.17016E-02,1.1803E-01
281,3.04797E-02,1.44919E-01
280.8,3.02994E-02,1.8681E-01
280.6,3.13617E-02,1.47009E-01
280.4,3.24822E-02,1.04812E-01
280.2,3.71334E-02,8.98314E-02
280,4.37299E-02,2.98575E-02
279.8,4.86358E-02,4.04882E-02
279.6,5.21969E-02,6.27747E-02
279.4,5.5843E-02,6.86702E-02
279.2,5.53025E-02,8.82995E-02
279,5.53873E-02,6.79895E-02
278.8,5.75685E-02,7.36529E-02
278.6,6.33597E-02,6.14431E-02
278.4,7.00106E-02,2.28632E-02
278.2,7.64548E-02,6.60311E-02
278,8.20602E-02,7.88638E-02
277.8,8.21184E-02,5.59592E-02
277.6,7.8328E-02,4.05803E-02
277.4,7.62648E-02,6.23541E-02
277.2,7.23053E-02,1.03289E-01
277,6.93628E-02,1.24586E-01
276.8,6.91545E-02,1.00035E-01
276.6,6.51802E-02,1.13025E-01
276.4,6.15674E-02,1.00379E-01
276.2,5.88113E-02,9.13132E-02
276,5.76617E-02,8.13121E-02
275.8,6.08329E-02,5.88075E-02
275.6,6.43566E-02,5.98899E-02
275.4,6.57868E-02,3.22806E-02
275.2,6.71153E-02,4.23893E-02
275,6.66243E-02,6.5517E-02
274.8,6.72393E-02,9.66274E-02
274.6,6.87993E-02,1.06008E-01
274.4,6.8027E-02,8.28498E-02
274.2,6.44461E-02,8.78348E-02
274,5.90899E-02,7.07367E-02
273.8,4.89466E-02,1.08046E-01
273.6,4.29939E-02,8.17264E-02
273.4,3.88998E-02,1.05514E-01
273.2,3.30493E-02,1.36271E-01
273,3.02045E-02,1.34764E-01
272.8,2.8301E-02,1.29995E-01
272.6,2.50071E-02,7.71268E-02
272.4,2.22737E-02,8.28349E-02
272.2,2.14459E-02,1.02616E-01
272,2.08474E-02,8.8145E-02
271.8,1.96562E-02,8.1205E-02
271.6,1.84936E-02,2.14148E-02
271.4,1.54631E-02,6.1153E-02
271.2,1.18899E-02,7.39004E-02
271,1.20998E-02,7.25487E-02
270.8,1.24057E-02,5.53269E-02
270.6,1.50753E-02,6.50146E-02
270.4,2.13755E-02,5.93312E-02
270.2,2.52637E-02,5.0457E-02
270,3.07569E-02,7.8447E-02
269.8,3.64063E-02,1.08457E-01
269.6,4.00378E-02,1.11417E-01
269.4,4.46453E-02,9.50589E-02
269.2,4.76392E-02,5.52478E-02
269,4.92331E-02,8.12869E-02
268.8,4.9736E-02,4.60662E-02
268.6,4.84259E-02,7.6498E-02
268.4,4.45222E-02,8.93716E-02
268.2,4.37231E-02,1.14983E-01
268,4.62776E-02,1.21055E-01
267.8,4.8828E-02,1.19018E-01
267.6,5.61923E-02,1.01138E-01
267.4,6.13419E-02,1.00447E-01
267.2,6.22701E-02,1.04776E-01
267,6.32282E-02,8.49699E-02
266.8,6.24013E-02,5.31534E-02
266.6,5.95003E-02,4.26273E-02
266.4,5.74932E-02,4.33592E-02
266.2,5.66428E-02,6.31811E-02
266,5.48818E-02,7.42932E-02
265.8,5.53017E-02,9.56812E-02
265.6,5.74342E-02,8.21654E-02
265.4,5.79565E-02,5.99538E-02
265.2,5.8398E-02,8.29163E-02
265,5.93379E-02,1.14703E-01
264.8,5.87571E-02,8.66474E-02
264.6,6.14216E-02,1.02322E-01
264.4,6.4111E-02,7.36657E-02
264.2,6.59259E-02,6.68918E-02
264,7.13334E-02,8.55181E-02
263.8,7.67224E-02,3.58773E-02
263.6,8.45723E-02,5.80053E-02
263.4,9.28898E-02,5.09817E-02
263.2,9.6744E-02,8.22684E-02
263,1.02835E-01,8.80093E-02
262.8,1.10311E-01,5.21504E-02
262.6,1.19196E-01,2.89253E-02
262.4,1.31389E-01,3.74755E-02
262.2,1.44056E-01,7.9987E-02
262,1.54653E-01,1.12799E-01
261.8,1.64978E-01,1.10765E-01
261.6,1.74343E-01,1.42043E-01
261.4,1.80822E-01,1.36283E-01
261.2,1.8357E-01,1.38156E-01
261,1.84016E-01,1.00153E-01
260.8,1.83309E-01,1.10072E-01
260.6,1.81649E-01,1.35083E-01
260.4,1.80276E-01,1.44191E-01
260.2,1.79303E-01,1.49537E-01
260,1.77973E-01,1.06088E-01
259.8,1.73434E-01,7.82582E-02
259.6,1.65529E-01,8.50871E-02
259.4,1.53618E-01,1.29494E-01
259.2,1.39284E-01,1.45999E-01
259,1.27159E-01,1.15108E-01
258.8,1.18303E-01,1.11466E-01
258.6,1.11721E-01,1.30351E-01
258.4,1.02574E-01,1.24892E-01
258.2,9.39592E-02,1.01898E-01
258,8.27826E-02,7.85297E-02
257.8,6.83525E-02,5.9404E-02
257.6,5.45673E-02,8.57959E-02
257.4,3.91464E-02,5.80807E-02
257.2,2.28673E-02,2.69738E-02
257,1.10038E-02,5.92428E-02
256.8,-1.51505E-03,7.28704E-02
256.6,-1.61883E-02,7.57758E-02
256.4,-2.97388E-02,8.0003E-02
256.2,-4.50452E-02,7.32079E-02
256,-5.78208E-02,9.38129E-02
255.8,-6.4007E-02,8.29411E-02
255.6,-7.03876E-02,1.17525E-01
255.4,-7.29012E-02,1.04766E-01
255.2,-7.08966E-02,1.06012E-01
255,-6.64977E-02,9.16947E-02
254.8,-5.50061E-02,1.01129E-01
254.6,-4.28325E-02,5.81717E-02
254.4,-3.24906E-02,5.96185E-02
254.2,-2.27784E-02,9.2965E-02
254,-1.87281E-02,8.19386E-02
253.8,-1.99331E-02,7.7284E-02
253.6,-1.9238E-02,6.94284E-02
253.4,-1.59689E-02,6.15917E-02
253.2,-8.16212E-03,8.92358E-02
253,2.98385E-03,8.49803E-02
252.8,1.59748E-02,1.25072E-01
252.6,2.48308E-02,6.28319E-02
252.4,2.86801E-02,4.34025E-02
252.2,3.27128E-02,6.259E-02
252,3.32186E-02,1.31E-01
251.8,3.15612E-02,1.37331E-01
251.6,2.88593E-02,1.0914E-01
251.4,2.20779E-02,1.18165E-01
251.2,1.45549E-02,1.04916E-01
251,8.17018E-03,7.33195E-02
250.8,2.90082E-03,4.43204E-02
250.6,-8.8338E-04,5.33619E-02
250.4,-7.59638E-04,6.54612E-02
250.2,4.37286E-04,4.95624E-02
250,4.16862E-03,8.04075E-02
249.8,1.12795E-02,7.59516E-02
249.6,1.975E-02,8.19575E-02
249.4,2.84516E-02,3.17532E-02
249.2,3.86614E-02,1.01922E-02
249,4.4346E-02,5.06818E-02
248.8,4.91331E-02,1.17578E-01
248.6,4.92611E-02,1.31538E-01
248.4,4.29476E-02,1.34223E-01
248.2,3.64246E-02,1.31477E-01
248,2.75384E-02,1.3732E-01
247.8,1.94867E-02,9.37603E-02
247.6,1.66052E-02,9.55088E-02
247.4,1.55836E-02,1.27775E-01
247.2,1.56028E-02,1.50304E-01
247,1.38822E-02,1.51091E-01
246.8,1.11497E-02,1.23538E-01
246.6,2.88107E-03,1.7822E-01
246.4,-1.05895E-02,1.31135E-01
246.2,-2.40727E-02,1.02408E-01
246,-3.79668E-02,7.54733E-02
245.8,-5.32871E-02,3.14617E-02
245.6,-6.55816E-02,2.84458E-02
245.4,-7.73264E-02,6.0483E-02
245.2,-8.78493E-02,8.9775E-02
245,-9.70727E-02,6.26569E-02
244.8,-1.04759E-01,6.00339E-02
244.6,-1.13808E-01,5.77193E-02
244.4,-1.19644E-01,9.72249E-02
244.2,-1.23384E-01,8.79488E-02
244,-1.25782E-01,8.22392E-02
243.8,-1.28543E-01,1.01229E-01
243.6,-1.33489E-01,1.06503E-01
243.4,-1.45386E-01,1.33246E-01
243.2,-1.5741E-01,9.7783E-02
243,-1.72427E-01,9.67541E-02
242.8,-1.86509E-01,8.53601E-02
242.6,-1.99858E-01,4.6997E-02
242.4,-2.15389E-01,5.5187E-02
242.2,-2.29314E-01,5.23279E-02
242,-2.48802E-01,2.83156E-02
241.8,-2.7091E-01,5.75725E-02
241.6,-2.90309E-01,4.95568E-02
241.4,-3.10494E-01,1.01821E-01
241.2,-3.28808E-01,9.14308E-02
241,-3.48666E-01,9.5326E-02
240.8,-3.70059E-01,1.08485E-01
240.6,-3.92905E-01,9.19192E-02
240.4,-4.15283E-01,1.53524E-01
240.2,-4.35471E-01,1.6859E-01
240,-4.53489E-01,1.17868E-01
239.8,-4.77469E-01,1.15341E-01
239.6,-5.01345E-01,1.83926E-01
239.4,-5.27557E-01,1.78856E-01
239.2,-5.52825E-01,2.11513E-01
239,-5.74183E-01,1.99758E-01
238.8,-5.92078E-01,1.16854E-01
238.6,-6.03522E-01,7.30555E-02
238.4,-6.09255E-01,6.35043E-02
238.2,-6.15845E-01,6.47923E-02
238,-6.25607E-01,6.37107E-02
237.8,-6.42257E-01,6.86469E-02
237.6,-6.63419E-01,5.66443E-02
237.4,-6.86915E-01,1.00444E-01
237.2,-7.11401E-01,9.1009E-02
237,-7.37526E-01,1.09465E-01
236.8,-7.66821E-01,1.38104E-01
236.6,-7.97612E-01,1.06436E-01
236.4,-8.29351E-01,1.04363E-01
236.2,-8.562E-01,1.34122E-01
236,-8.79276E-01,1.52824E-01
235.8,-8.98118E-01,1.57062E-01
235.6,-9.16557E-01,1.57779E-01
235.4,-9.40951E-01,2.43769E-01
235.2,-9.72327E-01,1.94676E-01
235,-1.01018E+00,1.72068E-01
234.8,-1.04661E+00,1.08234E-01
234.6,-1.08053E+00,9.81E-02
234.4,-1.11323E+00,1.357E-01
234.2,-1.14621E+00,9.24242E-02
234,-1.17842E+00,6.4301E-02
233.8,-1.21221E+00,8.67287E-02
233.6,-1.24298E+00,4.31982E-02
233.4,-1.27137E+00,8.18541E-02
233.2,-1.29478E+00,6.26338E-02
233,-1.31501E+00,5.54944E-02
232.8,-1.33638E+00,9.15581E-02
232.6,-1.3597E+00,1.08862E-01
232.4,-1.39064E+00,5.42716E-02
232.2,-1.43455E+00,7.2197E-02
232,-1.48221E+00,1.02849E-01
231.8,-1.53299E+00,1.4052E-01
231.6,-1.58645E+00,1.98208E-01
231.4,-1.6415E+00,2.47097E-01
231.2,-1.69924E+00,2.07484E-01
231,-1.75669E+00,1.50178E-01
230.8,-1.81351E+00,1.1962E-01
230.6,-1.86577E+00,1.29723E-01
230.4,-1.90784E+00,1.69342E-01
230.2,-1.9479E+00,1.12679E-01
230,-1.99175E+00,8.78927E-02
229.8,-2.03712E+00,9.70756E-02
229.6,-2.08943E+00,1.38205E-01
229.4,-2.14524E+00,1.42547E-01
229.2,-2.19574E+00,1.07872E-01
229,-2.24372E+00,8.23341E-02
228.8,-2.28446E+00,1.14689E-01
228.6,-2.31965E+00,1.56231E-01
228.4,-2.35054E+00,1.32899E-01
228.2,-2.3795E+00,1.18841E-01
228,-2.40047E+00,1.30614E-01
227.8,-2.42057E+00,1.06164E-01
227.6,-2.43953E+00,1.31891E-01
227.4,-2.44956E+00,1.76738E-01
227.2,-2.45751E+00,2.07064E-01
227,-2.46657E+00,1.86563E-01
226.8,-2.47794E+00,1.66804E-01
226.6,-2.49367E+00,1.15274E-01
226.4,-2.51245E+00,1.20131E-01
226.2,-2.53247E+00,9.04256E-02
226,-2.55006E+00,7.38744E-02
225.8,-2.56909E+00,1.1488E-01
225.6,-2.58998E+00,9.68046E-02
225.4,-2.6125E+00,1.24749E-01
225.2,-2.63549E+00,1.25254E-01
225,-2.66309E+00,1.19407E-01
224.8,-2.69418E+00,1.6675E-01
224.6,-2.7251E+00,2.3307E-01
224.4,-2.75968E+00,2.96618E-01
224.2,-2.7999E+00,2.48779E-01
224,-2.8383E+00,2.27669E-01
223.8,-2.87889E+00,1.95331E-01
223.6,-2.91922E+00,1.72843E-01
223.4,-2.95803E+00,1.9373E-01
223.2,-2.99094E+00,1.50252E-01
223,-3.02325E+00,1.519E-01
222.8,-3.04824E+00,1.24532E-01
222.6,-3.06528E+00,1.04303E-01
222.4,-3.07666E+00,1.62807E-01
222.2,-3.08187E+00,1.59602E-01
222,-3.07814E+00,1.56959E-01
221.8,-3.0753E+00,2.06763E-01
221.6,-3.06784E+00,1.74647E-01
221.4,-3.05994E+00,1.82927E-01
221.2,-3.05355E+00,1.42048E-01
221,-3.04581E+00,1.53174E-01
220.8,-3.03535E+00,1.88532E-01
220.6,-3.03107E+00,2.0951E-01
220.4,-3.03345E+00,2.14402E-01
220.2,-3.03858E+00,1.2583E-01
220,-3.04982E+00,9.85549E-02
219.8,-3.05961E+00,1.04648E-01
219.6,-3.06371E+00,1.61986E-01
219.4,-3.07512E+00,2.00508E-01
219.2,-3.09593E+00,1.53911E-01
219,-3.12627E+00,1.44552E-01
218.8,-3.16035E+00,1.39382E-01
218.6,-3.19346E+00,1.25203E-01
218.4,-3.22389E+00,1.88527E-01
218.2,-3.25158E+00,2.51915E-01
218,-3.28019E+00,3.34019E-01
217.8,-3.30818E+00,3.4801E-01
217.6,-3.32704E+00,2.23145E-01
217.4,-3.34285E+00,1.63805E-01
217.2,-3.3492E+00,1.89777E-01
217,-3.35157E+00,2.11877E-01
216.8,-3.35216E+00,2.89125E-01
216.6,-3.34269E+00,2.10213E-01
216.4,-3.33242E+00,2.02053E-01
216.2,-3.31944E+00,1.97402E-01
216,-3.30193E+00,1.08128E-01
215.8,-3.29158E+00,1.53362E-01
215.6,-3.28544E+00,1.19655E-01
215.4,-3.28034E+00,1.24787E-01
215.2,-3.27698E+00,1.99677E-01
215,-3.28043E+00,3.01113E-01
214.8,-3.28563E+00,2.75695E-01
214.6,-3.29903E+00,2.02795E-01
214.4,-3.31593E+00,1.35656E-01
214.2,-3.33146E+00,1.47726E-01
214,-3.35209E+00,1.69565E-01
213.8,-3.36934E+00,1.7254E-01
213.6,-3.38372E+00,1.79548E-01
213.4,-3.40377E+00,1.29179E-01
213.2,-3.425E+00,1.67138E-01
213,-3.44462E+00,1.60045E-01
212.8,-3.46991E+00,1.47069E-01
212.6,-3.49768E+00,1.5135E-01
212.4,-3.52735E+00,2.27984E-01
212.2,-3.5653E+00,2.75326E-01
212,-3.60695E+00,1.89641E-01
211.8,-3.64933E+00,2.65771E-01
211.6,-3.69196E+00,2.51835E-01
211.4,-3.72802E+00,2.71075E-01
211.2,-3.75697E+00,2.90696E-01
211,-3.78292E+00,1.83452E-01
210.8,-3.80621E+00,1.71843E-01
210.6,-3.83126E+00,1.09303E-01
210.4,-3.86623E+00,2.19419E-01
210.2,-3.89821E+00,2.14306E-01
210,-3.92948E+00,2.26335E-01
209.8,-3.96434E+00,2.79213E-01
209.6,-3.99612E+00,1.99092E-01
209.4,-4.02984E+00,2.15266E-01
209.2,-4.0657E+00,1.02338E-01
209,-4.09712E+00,9.38518E-02
208.8,-4.12206E+00,1.72781E-01
208.6,-4.14254E+00,1.40958E-01
208.4,-4.15497E+00,2.57988E-01
208.2,-4.15516E+00,3.35532E-01
208,-4.14259E+00,3.30366E-01
207.8,-4.10539E+00,3.94175E-01
207.6,-4.0515E+00,4.38137E-01
207.4,-3.9943E+00,4.11846E-01
207.2,-3.93414E+00,5.16281E-01
207,-3.87558E+00,3.50598E-01
206.8,-3.81451E+00,1.26805E-01
206.6,-3.74746E+00,2.41835E-01
206.4,-3.67666E+00,2.92573E-01
206.2,-3.59495E+00,2.05313E-01
206,-3.51002E+00,1.3922E-01
205.8,-3.41594E+00,1.12095E-01
205.6,-3.30463E+00,1.19236E-01
205.4,-3.17549E+00,2.11726E-01
205.2,-3.0453E+00,2.68602E-01
205,-2.91344E+00,2.60276E-01
204.8,-2.78289E+00,1.64541E-01
204.6,-2.66243E+00,1.83931E-01
204.4,-2.54428E+00,1.37157E-01
204.2,-2.41436E+00,2.21696E-01
204,-2.28343E+00,1.50986E-01
203.8,-2.14792E+00,1.15744E-01
203.6,-2.00013E+00,9.27704E-02
203.4,-1.8577E+00,1.61374E-01
203.2,-1.71861E+00,1.35376E-01
203,-1.57389E+00,1.59467E-01
202.8,-1.431E+00,2.26549E-01
202.6,-1.27906E+00,1.33026E-01
202.4,-1.11038E+00,2.37896E-01
202.2,-9.39243E-01,3.00755E-01
202,-7.68905E-01,4.30675E-01
201.8,-5.93048E-01,4.49115E-01
201.6,-4.21245E-01,3.20151E-01
201.4,-2.48513E-01,3.16764E-01
201.2,-6.97793E-02,2.69339E-01
201,1.12643E-01,1.99999E-01
200.8,2.94897E-01,1.92311E-01
200.6,4.7126E-01,2.43214E-01
200.4,6.61718E-01,1.71178E-01
200.2,8.63036E-01,3.61248E-01
200,1.07791E+00,1.78252E-01
199.8,1.32056E+00,1.96354E-01
199.6,1.5786E+00,3.19318E-01
199.4,1.83372E+00,1.21346E-01
199.2,2.08893E+00,2.47882E-01
199,2.34494E+00,5.2573E-01
198.8,2.58366E+00,5.18488E-01
198.6,2.81829E+00,4.37871E-01
198.4,3.04919E+00,3.13919E-01
198.2,3.27883E+00,2.32196E-01
198,3.50311E+00,1.72252E-01
197.8,3.72211E+00,2.43283E-01
197.6,3.93862E+00,2.85948E-01
197.4,4.1223E+00,3.05489E-01
197.2,4.28692E+00,2.94058E-01
197,4.42904E+00,3.09271E-01
196.8,4.54144E+00,2.41736E-01
196.6,4.63822E+00,3.39566E-01
196.4,4.73878E+00,2.28134E-01
196.2,4.83475E+00,4.0788E-01
196,4.94697E+00,4.61309E-01
195.8,5.07043E+00,4.37398E-01
195.6,5.16829E+00,4.49787E-01
195.4,5.25247E+00,6.14336E-01
195.2,5.32772E+00,7.23813E-01
195,5.37514E+00,4.77493E-01
194.8,5.44062E+00,6.62608E-01
194.6,5.52113E+00,8.07051E-01
194.4,5.59238E+00,8.75397E-01
194.2,5.69311E+00,7.31714E-01
194,5.81078E+00,3.61528E-01
193.8,5.90638E+00,7.98718E-02
193.6,6.01053E+00,2.36064E-01
193.4,6.04713E+00,5.97599E-01
193.2,6.08858E+00,8.35441E-01
193,6.15081E+00,8.92554E-01
192.8,6.2083E+00,9.3583E-01
192.6,6.32212E+00,1.17653E+00
192.4,6.46768E+00,7.67156E-01
192.2,6.5925E+00,3.2519E-01
192,6.66733E+00,6.16314E-01
191.8,6.64126E+00,8.16535E-01
191.6,6.4376E+00,1.00224E+00
191.4,6.12153E+00,9.92335E-01
191.2,5.81854E+00,1.33211E+00
191,5.47205E+00,1.33463E+00
190.8,5.00183E+00,8.77106E-01
190.6,4.30284E+00,1.2403E+00
190.4,3.7404E+00,1.57623E+00
190.2,3.39259E+00,2.11238E+00
190,3.39912E+00,1.58421E+00
189.8,3.48465E+00,1.39144E+00
189.6,3.48737E+00,1.52184E+00
189.4,3.22075E+00,2.45364E+00
189.2,2.49322E+00,3.63116E+00
189,1.80768E+00,5.53835E+00
188.8,1.09512E+00,6.87391E+00
188.6,5.8067E-01,7.95655E+00
188.4,4.43681E-01,7.94928E+00
188.2,-1.0336E-01,7.39832E+00
188,-9.57114E-01,7.60183E+00
187.8,-1.90951E+00,8.80351E+00
187.6,-2.6223E+00,6.65611E+00
187.4,-2.76247E+00,7.34611E+00
187.2,-2.51895E+00,3.42849E+00
187,-1.62058E+00,2.11858E+00
186.8,-1.22667E+00,2.49865E+00
186.6,-1.25523E+00,5.57038E+00
186.4,-1.18563E+00,5.56429E+00
186.2,-1.21225E+00,8.01375E+00
186,-1.70828E+00,1.28922E+01
185.8,-2.10797E+00,1.52919E+01
185.6,-2.55041E+00,1.40966E+01
185.4,-3.44075E+00,1.03033E+01
185.2,-3.93118E+00,9.25233E+00
185,-5.39151E+00,1.1363E+01
184.8,-6.86811E+00,1.60059E+01
184.6,-7.77802E+00,1.21029E+01
184.4,-8.24309E+00,1.17347E+01
184.2,-7.98751E+00,2.35701E+01
184,-7.21117E+00,3.04788E+01
183.8,-6.20842E+00,3.1846E+01
183.6,-6.21445E+00,2.09749E+01
183.4,-7.06472E+00,1.43973E+01
183.2,-8.07753E+00,2.813E+01
183,-9.21566E+00,4.79768E+01
182.8,-9.04762E+00,5.54491E+01
182.6,-8.75831E+00,4.06045E+01
182.4,-8.34774E+00,1.86219E+01
182.2,-7.8159E+00,3.3058E+01
182,-7.16279E+00,4.75572E+01
181.8,-6.38842E+00,5.45172E+01
181.6,-5.49278E+00,4.81516E+01
181.4,-4.47587E+00,2.96204E+01
181.2,-3.3377E+00,2.34672E+01
181,-2.07826E+00,1.95751E+01
180.8,-6.97557E-01,1.21743E+01
180.6,8.04415E-01,1.92729E+01
180.4,2.42765E+00,2.38776E+01
180.2,4.17216E+00,1.74882E+01
180,6.03793E+00,1.69861E+01